FY_CODE,WPI_ORG_NAME,ORG_CODE,ORG_TYP_CODE,WPI_SPOP_FLNE_CNT,WPI_SPOP_FLNE_PCT,WPI_SPOP_LEP_CNT,WPI_SPOP_LEP_PCT,WPI_SPOP_SPED_CNT,WPI_SPOP_SPED_PCT,WPI_SPOP_FLUNCH_CNT,WPI_SPOP_FLUNCH_PCT,WPI_SPOP_FLUNCH_FR_CNT,WPI_SPOP_FLUNCH_FR_PCT,WPI_SPOP_FLUNCH_RP_CNT,WPI_SPOP_FLUNCH_RP_PCT,WPI_SPOP_HN_CNT,WPI_SPOP_HN_PCT
2010,Abington ECC,10003,6,20,3.80%,7,1.30%,57,10.70%,64,12%,54,10.20%,10,1.90%,,
2011,Abington ECC,10003,6,20,3.20%,6,1%,77,12.20%,107,17%,91,14.40%,16,2.50%,,
2012,Beaver Brook Elementary School,10003,6,22,3.40%,20,3.10%,79,12.10%,148,22.70%,119,18.30%,29,4.50%,,
2013,Beaver Brook Elementary School,10003,6,31,4.50%,28,4.10%,77,11.20%,186,27.20%,154,22.50%,32,4.70%,244,35.60%
2014,Beaver Brook Elementary School,10003,6,27,4.20%,14,2.20%,75,11.60%,140,21.70%,115,17.80%,25,3.90%,204,31.60%
1995,CENTER,10005,6,3,1.10%,2,0.80%,0,0%,57,21.50%,,,,,,
1996,CENTER,10005,6,3,1.50%,0,0%,0,0%,41,19.90%,,,,,,
1997,CENTER,10005,6,2,1%,1,0.50%,0,0%,50,25%,,,,,,
1998,CENTER,10005,6,2,1%,0,0%,0,0%,41,21%,,,,,,
1999,Center,10005,6,3,1.60%,,,,,37,19.40%,,,,,,
2000,CENTER,10005,6,1,0.50%,0,0%,0,0%,37,19.80%,,,,,,
2001,Center                              ,10005,6,3,1.50%,2,1%,0,0%,31,15.50%,,,,,,
2002,Center,10005,6,1,0.50%,0,0%,0,0%,23,11.40%,,,,,,
2003,Center,10005,6,2,1%,0,0%,0,0%,25,12.20%,,,,,,
2004,Center,10005,6,2,0.90%,0,0%,34,15.50%,21,9.50%,,,,,,
2005,Center,10005,6,4,2%,0,0%,34,16.70%,27,13.20%,,,,,,
2006,Center,10005,6,6,2.90%,0,0%,24,11.70%,24,11.70%,,,,,,
2007,Center,10005,6,4,2%,0,0%,32,16.20%,26,13.10%,16,8.10%,10,5.10%,,
2008,Center,10005,6,1,0.50%,0,0%,39,19.80%,36,18.30%,29,14.70%,7,3.60%,,
2009,Center,10005,6,5,2.70%,2,1.10%,40,21.30%,46,24.50%,32,17%,14,7.40%,,
2010,Center,10005,6,7,3%,2,0.90%,36,15.30%,63,26.80%,50,21.30%,13,5.50%,,
1995,NORTH,10010,6,0,0%,0,0%,0,0%,44,20.90%,,,,,,
1996,NORTH,10010,6,0,0%,0,0%,0,0%,36,20%,,,,,,
1997,NORTH,10010,6,0,0%,0,0%,0,0%,53,24.40%,,,,,,
1998,NORTH,10010,6,2,1%,0,0%,0,0%,47,23.40%,,,,,,
1999,North,10010,6,1,0.50%,,,,,31,16.80%,,,,,,
2000,NORTH,10010,6,2,1.10%,1,0.50%,0,0%,34,18.30%,,,,,,
2001,North                               ,10010,6,1,0.50%,1,0.50%,0,0%,20,10.70%,,,,,,
2002,North,10010,6,1,0.50%,0,0%,0,0%,18,9.40%,,,,,,
2003,North,10010,6,5,2.60%,3,1.60%,0,0%,27,14.20%,,,,,,
2004,North,10010,6,0,0%,0,0%,24,11.40%,26,12.40%,,,,,,
2005,North,10010,6,0,0%,0,0%,25,12.20%,26,12.70%,,,,,,
2006,North,10010,6,2,1%,1,0.50%,27,13.30%,22,10.80%,,,,,,
2007,North,10010,6,0,0%,0,0%,26,13.30%,26,13.30%,15,7.70%,11,5.60%,,
2008,North,10010,6,1,0.50%,0,0%,29,15.80%,32,17.40%,23,12.50%,9,4.90%,,
2009,North,10010,6,10,5.10%,5,2.60%,30,15.30%,38,19.40%,28,14.30%,10,5.10%,,
1995,WOODSDALE,10015,6,7,1.60%,0,0%,0,0%,51,11.80%,,,,,,
1996,WOODSDALE,10015,6,6,1.70%,0,0%,0,0%,30,8.70%,,,,,,
1997,WOODSDALE,10015,6,4,1.20%,0,0%,0,0%,37,11.10%,,,,,,
1998,WOODSDALE,10015,6,3,0.90%,0,0%,0,0%,33,9.50%,,,,,,
1999,Woodsdale,10015,6,2,0.50%,,,,,41,10.90%,,,,,,
2000,WOODSDALE,10015,6,1,0.30%,0,0%,0,0%,41,11%,,,,,,
2001,Woodsdale                           ,10015,6,1,0.30%,0,0%,0,0%,34,8.60%,,,,,,
2002,Woodsdale,10015,6,1,0.30%,0,0%,0,0%,32,8.20%,,,,,,
2003,Woodsdale,10015,6,1,0.30%,0,0%,0,0%,29,7.60%,,,,,,
2004,Woodsdale,10015,6,0,0%,0,0%,55,14.80%,26,7%,,,,,,
2005,Woodsdale,10015,6,0,0%,0,0%,63,16.60%,29,7.60%,,,,,,
2006,Woodsdale,10015,6,0,0%,0,0%,58,14.80%,28,7.20%,,,,,,
2007,Woodsdale,10015,6,0,0%,0,0%,51,13%,38,9.70%,30,7.70%,8,2%,,
2008,Woodsdale,10015,6,2,0.50%,0,0%,62,16%,29,7.50%,25,6.40%,4,1%,,
2009,Woodsdale,10015,6,4,1%,2,0.50%,57,14.30%,37,9.30%,28,7%,9,2.30%,,
2010,Woodsdale,10015,6,5,1.10%,1,0.20%,56,12%,79,16.90%,45,9.60%,34,7.30%,,
2011,Woodsdale,10015,6,16,3.20%,6,1.20%,77,15.20%,105,20.80%,74,14.60%,31,6.10%,,
2012,Woodsdale Elementary School,10015,6,7,2.10%,5,1.50%,46,13.80%,88,26.30%,69,20.70%,19,5.70%,,
2013,Woodsdale Elementary School,10015,6,11,3.50%,10,3.20%,47,15.20%,91,29.40%,75,24.20%,16,5.20%,131,42.30%
2014,Woodsdale Elementary School,10015,6,15,4.40%,14,4.10%,37,10.90%,68,20%,61,17.90%,7,2.10%,107,31.50%
1995,FROLIO JR HS,10405,6,1,0.30%,1,0.30%,0,0%,20,5.30%,,,,,,
1996,FROLIO JR HS,10405,6,1,0.30%,0,0%,0,0%,25,6.70%,,,,,,
1997,FROLIO JR HS,10405,6,0,0%,0,0%,0,0%,32,8.80%,,,,,,
1998,FROLIO JR HS,10405,6,1,0.30%,0,0%,0,0%,40,11.10%,,,,,,
1999,Frolio Jr Hs,10405,6,1,0.30%,,,,,40,10.80%,,,,,,
2000,FROLIO JR HS,10405,6,0,0%,0,0%,0,0%,44,11.20%,,,,,,
2001,Frolio Jr Hs                        ,10405,6,0,0%,0,0%,0,0%,25,6.60%,,,,,,
2002,Frolio Jr Hs,10405,6,3,0.80%,1,0.30%,0,0%,33,9.20%,,,,,,
2003,Frolio Jr Hs,10405,6,7,1.70%,3,0.70%,0,0%,35,8.70%,,,,,,
2004,Frolio Jr Hs,10405,6,0,0%,0,0%,47,11.40%,40,9.70%,,,,,,
2005,Frolio Jr Hs,10405,6,2,0.50%,2,0.50%,44,10.80%,36,8.80%,,,,,,
2006,Frolio Jr Hs,10405,6,0,0%,0,0%,62,15.50%,39,9.70%,,,,,,
2007,Frolio Jr Hs,10405,6,4,1%,3,0.80%,60,15.10%,39,9.80%,28,7%,11,2.80%,,
2008,Frolio Jr Hs,10405,6,5,1.20%,0,0%,61,15%,42,10.30%,29,7.10%,13,3.20%,,
2009,Frolio Middle School,10405,6,3,0.80%,0,0%,69,17.70%,41,10.50%,23,5.90%,18,4.60%,,
2010,Frolio Middle School,10405,6,2,0.50%,0,0%,85,21.40%,44,11.10%,32,8.10%,12,3%,,
2011,Frolio Middle School,10405,6,3,0.80%,0,0%,65,17.60%,55,14.90%,45,12.20%,10,2.70%,,
2012,Frolio Middle School,10405,6,5,1.50%,0,0%,50,15.10%,79,23.90%,64,19.30%,15,4.50%,,
2013,Frolio Middle School,10405,6,8,2.30%,3,0.90%,47,13.70%,91,26.50%,71,20.60%,20,5.80%,119,34.60%
2014,Frolio Middle School,10405,6,9,2.70%,8,2.40%,44,13.40%,90,27.40%,69,21%,21,6.40%,123,37.40%
1995,ABINGTON HIGH,10505,6,0,0%,0,0%,0,0%,14,2.50%,,,,,,
1996,ABINGTON HIGH,10505,6,2,0.30%,2,0.30%,0,0%,16,2.70%,,,,,,
1997,ABINGTON HIGH,10505,6,2,0.30%,0,0%,0,0%,20,3.30%,,,,,,
1998,ABINGTON HIGH,10505,6,7,1.20%,0,0%,0,0%,9,1.60%,,,,,,
1999,Abington High,10505,6,12,2.10%,,,,,13,2.30%,,,,,,
2000,ABINGTON HIGH,10505,6,3,0.60%,0,0%,0,0%,16,3%,,,,,,
2001,Abington High                       ,10505,6,8,1.40%,1,0.20%,0,0%,18,3.20%,,,,,,
2002,Abington High,10505,6,9,1.60%,0,0%,0,0%,26,4.70%,,,,,,
2003,Abington High,10505,6,8,1.40%,3,0.50%,0,0%,33,5.70%,,,,,,
2004,Abington High,10505,6,6,1%,2,0.30%,60,9.80%,27,4.40%,,,,,,
2005,Abington High,10505,6,3,0.50%,0,0%,58,9.80%,35,5.90%,,,,,,
2006,Abington High,10505,6,5,0.90%,3,0.50%,62,10.70%,40,6.90%,,,,,,
2007,Abington High,10505,6,4,0.70%,1,0.20%,67,11.40%,63,10.70%,46,7.80%,17,2.90%,,
2008,Abington High,10505,6,1,0.20%,0,0%,67,11.40%,53,9%,43,7.30%,10,1.70%,,
2009,Abington High,10505,6,6,1%,1,0.20%,80,13.70%,67,11.50%,53,9.10%,14,2.40%,,
2010,Abington High,10505,6,10,1.80%,0,0%,79,14.20%,53,9.50%,36,6.50%,17,3%,,
2011,Abington High,10505,6,11,2.20%,0,0%,82,16.10%,44,8.60%,30,5.90%,14,2.70%,,
2012,Abington High,10505,6,10,1.90%,0,0%,85,16.60%,64,12.50%,52,10.10%,12,2.30%,,
2013,Abington High,10505,6,8,1.60%,2,0.40%,70,13.90%,97,19.30%,72,14.30%,25,5%,147,29.30%
2014,Abington High,10505,6,12,2.60%,5,1.10%,53,11.50%,82,17.80%,75,16.30%,7,1.50%,123,26.70%
1995,ACTON,20000,5,150,7%,25,1.20%,318,14.80%,76,3.50%,,,,,,
1996,ACTON,20000,5,157,7.30%,10,0.50%,338,15.70%,81,3.80%,,,,,,
1997,ACTON,20000,5,193,8.50%,42,1.90%,352,15.60%,65,2.90%,,,,,,
1998,ACTON,20000,5,241,10.50%,17,0.70%,399,17.40%,57,2.50%,,,,,,
1999,Acton,20000,5,254,10.70%,48,2%,409,17.20%,63,2.70%,,,,,,
2000,ACTON,20000,5,322,13.50%,73,3.10%,376,15.80%,75,3.10%,,,,,,
2001,ACTON                         ,20000,5,376,15.40%,93,3.80%,342,14%,73,3%,,,,,,
2002,Acton,20000,5,463,18.60%,83,3.30%,283,11.40%,67,2.70%,,,,,,
2003,Acton,20000,5,520,20.40%,57,2.20%,326,12.80%,57,2.20%,,,,,,
2004,Acton,20000,5,517,20.50%,51,2%,337,13.40%,49,1.90%,,,,,,
2005,Acton,20000,5,505,19.70%,41,1.60%,399,15.40%,61,2.40%,,,,,,
2006,Acton,20000,5,519,20.40%,19,0.70%,419,16.30%,71,2.80%,,,,,,
2007,Acton,20000,5,448,17.50%,41,1.60%,404,15.60%,65,2.50%,50,2%,15,0.60%,,
2008,Acton,20000,5,466,18%,50,1.90%,414,15.90%,55,2.10%,44,1.70%,11,0.40%,,
2009,Acton,20000,5,439,17.20%,67,2.60%,402,15.60%,56,2.20%,32,1.30%,24,0.90%,,
2010,Acton,20000,5,417,16%,81,3.10%,392,14.90%,69,2.60%,53,2%,16,0.60%,,
2011,Acton,20000,5,380,14.80%,95,3.70%,378,14.60%,69,2.70%,51,2%,18,0.70%,,
2012,Acton,20000,5,372,14.80%,108,4.30%,387,15.30%,107,4.30%,84,3.30%,23,0.90%,,
2013,Acton,20000,5,380,15.10%,128,5.10%,387,15.30%,107,4.30%,89,3.50%,18,0.70%,588,23.20%
2014,Acton,20000,5,438,17.70%,151,6.10%,415,16.60%,141,5.70%,110,4.40%,31,1.30%,650,26%
1995,MERRIAM,20010,6,24,9.50%,0,0%,0,0%,1,0.40%,,,,,,
1996,MERRIAM,20010,6,2,0.70%,0,0%,0,0%,2,0.70%,,,,,,
1997,MERRIAM,20010,6,1,0.30%,0,0%,0,0%,3,1%,,,,,,
1998,MERRIAM,20010,6,1,0.30%,0,0%,0,0%,9,2.90%,,,,,,
1999,Merriam,20010,6,1,0.30%,,,,,5,1.50%,,,,,,
2000,MERRIAM,20010,6,22,5.90%,0,0%,0,0%,7,1.90%,,,,,,
2001,Merriam                             ,20010,6,40,10%,0,0%,0,0%,4,1%,,,,,,
2002,Merriam,20010,6,75,16.10%,18,3.90%,0,0%,10,2.10%,,,,,,
2003,Merriam,20010,6,99,19%,21,4%,0,0%,11,2.10%,,,,,,
2004,Merriam,20010,6,92,17.10%,13,2.40%,73,13.60%,11,2%,,,,,,
2005,Merriam,20010,6,98,16.80%,8,1.40%,97,16.70%,22,3.80%,,,,,,
2006,Merriam,20010,6,101,17.60%,3,0.50%,102,17.80%,20,3.50%,,,,,,
2007,Merriam,20010,6,77,12.90%,9,1.50%,113,18.90%,22,3.70%,17,2.80%,5,0.80%,,
2008,Merriam,20010,6,89,14.70%,7,1.20%,112,18.50%,9,1.50%,7,1.20%,2,0.30%,,
2009,Merriam,20010,6,90,14.60%,14,2.30%,111,18%,14,2.30%,10,1.60%,4,0.60%,,
2010,Merriam,20010,6,91,14.50%,25,4%,107,17%,18,2.90%,15,2.40%,3,0.50%,,
2011,Merriam,20010,6,92,15%,29,4.70%,99,16.10%,19,3.10%,16,2.60%,3,0.50%,,
2012,Merriam,20010,6,85,14.40%,26,4.40%,106,18%,22,3.70%,16,2.70%,6,1%,,
2013,Merriam,20010,6,74,12.20%,24,4%,104,17.20%,21,3.50%,19,3.10%,2,0.30%,147,24.30%
2014,Merriam,20010,6,89,14.70%,23,3.80%,118,19.50%,23,3.80%,20,3.30%,3,0.50%,163,26.90%
1995,MCCARTHY-TOWNE,20015,6,24,5.30%,0,0%,0,0%,13,2.90%,,,,,,
1996,MCCARTHY-TOWNE,20015,6,31,6.80%,0,0%,0,0%,10,2.20%,,,,,,
1997,MCCARTHY-TOWNE,20015,6,39,8.10%,0,0%,0,0%,5,1%,,,,,,
1998,MCCARTHY-TOWNE,20015,6,42,8.50%,0,0%,0,0%,6,1.20%,,,,,,
1999,McCarthy-Towne,20015,6,42,8.30%,,,,,10,2%,,,,,,
2000,MCCARTHY-TOWNE,20015,6,49,9.90%,20,4.10%,0,0%,13,2.60%,,,,,,
2001,McCarthy-Towne                      ,20015,6,67,13.10%,27,5.30%,0,0%,21,4.10%,,,,,,
2002,McCarthy-Towne,20015,6,75,14.80%,21,4.20%,0,0%,18,3.60%,,,,,,
2003,McCarthy-Towne,20015,6,90,17.30%,13,2.50%,0,0%,16,3.10%,,,,,,
2004,McCarthy-Towne,20015,6,90,17.80%,10,2%,75,14.90%,10,2%,,,,,,
2005,McCarthy-Towne,20015,6,79,15.60%,4,0.80%,71,14%,14,2.80%,,,,,,
2006,McCarthy-Towne,20015,6,81,15.90%,2,0.40%,70,13.80%,14,2.80%,,,,,,
2007,McCarthy-Towne,20015,6,59,12%,5,1%,78,15.90%,15,3.10%,10,2%,5,1%,,
2008,McCarthy-Towne,20015,6,60,12.10%,15,3%,87,17.60%,14,2.80%,11,2.20%,3,0.60%,,
2009,McCarthy-Towne,20015,6,48,10%,14,2.90%,77,16%,13,2.70%,8,1.70%,5,1%,,
2010,McCarthy-Towne,20015,6,36,7.20%,14,2.80%,75,15.10%,17,3.40%,12,2.40%,5,1%,,
2011,McCarthy-Towne,20015,6,32,6.60%,17,3.50%,66,13.60%,15,3.10%,9,1.90%,6,1.20%,,
2012,McCarthy-Towne,20015,6,43,9%,22,4.60%,74,15.50%,29,6.10%,26,5.50%,3,0.60%,,
2013,McCarthy-Towne,20015,6,62,12.90%,30,6.20%,72,15%,27,5.60%,24,5%,3,0.60%,115,23.90%
2014,McCarthy-Towne,20015,6,78,16.20%,40,8.30%,77,16%,36,7.50%,28,5.80%,8,1.70%,128,26.60%
1995,DOUGLAS,20020,6,34,8%,22,5.20%,0,0%,13,3.10%,,,,,,
1996,DOUGLAS,20020,6,51,12.20%,4,1%,0,0%,8,1.90%,,,,,,
1997,DOUGLAS,20020,6,51,11.20%,23,5%,0,0%,15,3.30%,,,,,,
1998,DOUGLAS,20020,6,63,13.70%,3,0.70%,0,0%,13,2.80%,,,,,,
1999,Douglas,20020,6,90,18%,20,4%,,,11,2.20%,,,,,,
2000,DOUGLAS,20020,6,98,19.30%,25,4.90%,0,0%,15,2.90%,,,,,,
2001,Douglas                             ,20020,6,107,20.80%,34,6.60%,0,0%,17,3.30%,,,,,,
2002,Douglas,20020,6,105,20.80%,21,4.20%,0,0%,14,2.80%,,,,,,
2003,Douglas,20020,6,93,18.60%,8,1.60%,0,0%,13,2.60%,,,,,,
2004,Douglas,20020,6,98,19.80%,9,1.80%,55,11.10%,9,1.80%,,,,,,
2005,Douglas,20020,6,86,17.30%,11,2.20%,56,11.30%,9,1.80%,,,,,,
2006,Douglas,20020,6,79,16.10%,7,1.40%,70,14.20%,11,2.20%,,,,,,
2007,Douglas,20020,6,71,14.30%,12,2.40%,71,14.30%,10,2%,5,1%,5,1%,,
2008,Douglas,20020,6,82,16.70%,15,3%,63,12.80%,7,1.40%,6,1.20%,1,0.20%,,
2009,Douglas,20020,6,77,15.70%,19,3.90%,61,12.50%,8,1.60%,4,0.80%,4,0.80%,,
2010,Douglas,20020,6,74,14.80%,22,4.40%,54,10.80%,14,2.80%,11,2.20%,3,0.60%,,
2011,Douglas,20020,6,58,11.90%,22,4.50%,57,11.70%,13,2.70%,10,2%,3,0.60%,,
2012,Douglas,20020,6,74,15.30%,28,5.80%,58,12%,22,4.60%,15,3.10%,7,1.40%,,
2013,Douglas,20020,6,77,15.90%,23,4.80%,55,11.40%,26,5.40%,20,4.10%,6,1.20%,96,19.90%
2014,Douglas,20020,6,95,19.90%,30,6.30%,67,14%,33,6.90%,25,5.20%,8,1.70%,120,25.10%
1995,GATES,20025,6,5,1%,0,0%,0,0%,21,4%,,,,,,
1996,GATES,20025,6,0,0%,0,0%,0,0%,30,6%,,,,,,
1997,GATES,20025,6,25,4.90%,0,0%,0,0%,18,3.50%,,,,,,
1998,GATES,20025,6,58,11.10%,0,0%,0,0%,13,2.50%,,,,,,
1999,Gates,20025,6,,,,,,,11,2.10%,,,,,,
2000,GATES,20025,6,46,9.10%,0,0%,0,0%,11,2.20%,,,,,,
2001,Gates                               ,20025,6,45,8.90%,0,0%,0,0%,8,1.60%,,,,,,
2002,Gates,20025,6,64,12.70%,0,0%,0,0%,5,1%,,,,,,
2003,Gates,20025,6,74,14.60%,0,0%,0,0%,3,0.60%,,,,,,
2004,Gates,20025,6,75,15.20%,0,0%,76,15.40%,8,1.60%,,,,,,
2005,Gates,20025,6,76,15.40%,0,0%,80,16.30%,3,0.60%,,,,,,
2006,Gates,20025,6,93,18.90%,0,0%,82,16.70%,12,2.40%,,,,,,
2007,Gates,20025,6,86,17.60%,0,0%,62,12.70%,10,2%,10,2%,,,,
2008,Gates,20025,6,97,19.50%,1,0.20%,63,12.70%,14,2.80%,9,1.80%,5,1%,,
2009,Gates,20025,6,90,18.80%,0,0%,62,12.90%,12,2.50%,4,0.80%,8,1.70%,,
2010,Gates,20025,6,100,20.40%,0,0%,59,12%,10,2%,7,1.40%,3,0.60%,,
2011,Gates,20025,6,88,18%,2,0.40%,61,12.40%,11,2.20%,8,1.60%,3,0.60%,,
2012,Gates,20025,6,75,15.50%,4,0.80%,66,13.60%,20,4.10%,14,2.90%,6,1.20%,,
2013,Gates,20025,6,75,16.30%,13,2.80%,75,16.30%,20,4.30%,16,3.50%,4,0.90%,103,22.40%
2014,Gates,20025,6,84,19.40%,21,4.80%,73,16.90%,29,6.70%,24,5.50%,5,1.20%,108,24.90%
1995,LUTHER CONANT,20030,6,63,12.80%,3,0.60%,0,0%,28,5.70%,,,,,,
1996,LUTHER CONANT,20030,6,73,14.60%,6,1.20%,0,0%,31,6.20%,,,,,,
1997,LUTHER CONANT,20030,6,77,15.10%,19,3.70%,0,0%,24,4.70%,,,,,,
1998,LUTHER CONANT,20030,6,77,15.30%,14,2.80%,0,0%,16,3.20%,,,,,,
1999,Luther Conant,20030,6,121,23.10%,28,5.40%,,,26,5%,,,,,,
2000,LUTHER CONANT,20030,6,107,21.20%,28,5.50%,0,0%,29,5.70%,,,,,,
2001,Luther Conant                       ,20030,6,117,23%,32,6.30%,0,0%,23,4.50%,,,,,,
2002,Luther Conant,20030,6,144,28.60%,23,4.60%,0,0%,20,4%,,,,,,
2003,Luther Conant,20030,6,164,32.60%,15,3%,0,0%,14,2.80%,,,,,,
2004,Luther Conant,20030,6,162,32.90%,19,3.90%,58,11.80%,11,2.20%,,,,,,
2005,Luther Conant,20030,6,166,33.90%,18,3.70%,69,14.10%,13,2.70%,,,,,,
2006,Luther Conant,20030,6,165,34.40%,7,1.50%,72,15%,14,2.90%,,,,,,
2007,Luther Conant,20030,6,155,31.70%,15,3.10%,61,12.50%,8,1.60%,8,1.60%,,,,
2008,Luther Conant,20030,6,138,27.80%,12,2.40%,63,12.70%,11,2.20%,11,2.20%,,,,
2009,Luther Conant,20030,6,134,27.20%,20,4.10%,67,13.60%,9,1.80%,6,1.20%,3,0.60%,,
2010,Luther Conant,20030,6,116,23.20%,20,4%,73,14.60%,10,2%,8,1.60%,2,0.40%,,
2011,Luther Conant,20030,6,110,22.50%,25,5.10%,77,15.80%,11,2.30%,8,1.60%,3,0.60%,,
2012,Luther Conant,20030,6,95,19.80%,28,5.80%,69,14.30%,14,2.90%,13,2.70%,1,0.20%,,
2013,Luther Conant,20030,6,92,19%,38,7.90%,62,12.80%,13,2.70%,10,2.10%,3,0.60%,108,22.40%
2014,Luther Conant,20030,6,92,19.40%,37,7.80%,57,12%,20,4.20%,13,2.70%,7,1.50%,108,22.70%
1995,ACUSHNET,30000,5,14,1.40%,0,0%,113,10.90%,144,13.90%,,,,,,
1996,ACUSHNET,30000,5,18,1.70%,0,0%,123,11.70%,163,15.50%,,,,,,
1997,ACUSHNET,30000,5,17,1.60%,0,0%,122,11.80%,167,16.20%,,,,,,
1998,ACUSHNET,30000,5,12,1.10%,0,0%,130,12.20%,151,14.10%,,,,,,
1999,Acushnet,30000,5,24,2.20%,,,145,13.20%,175,16%,,,,,,
2000,ACUSHNET,30000,5,20,1.80%,0,0%,157,14.20%,148,13.30%,,,,,,
2001,ACUSHNET                      ,30000,5,1,0.10%,0,0%,171,15.60%,133,12.10%,,,,,,
2002,Acushnet,30000,5,4,0.40%,0,0%,147,13.30%,137,12.40%,,,,,,
2003,Acushnet,30000,5,7,0.60%,0,0%,141,13%,156,14.40%,,,,,,
2004,Acushnet,30000,5,0,0%,0,0%,114,10.30%,153,13.80%,,,,,,
2005,Acushnet,30000,5,2,0.20%,0,0%,139,12.10%,165,14.80%,,,,,,
2006,Acushnet,30000,5,2,0.20%,0,0%,199,17.80%,124,11.40%,,,,,,
2007,Acushnet,30000,5,2,0.20%,0,0%,204,18.20%,132,12.20%,78,7.20%,54,5%,,
2008,Acushnet,30000,5,7,0.70%,0,0%,254,22.80%,175,16.30%,130,12.10%,45,4.20%,,
