REC_YEAR,ORG_CODE,SCHOOL,MAT_ID,MAT_ABBREVIATION,MCORE_HS_GRAD,MCORE_COMPL,MCORE_PCT,SORT
2009,160000,,92,"Multi-race, Non-Hisp./Lat.",17,17,100%,120
2009,160000,,90,White,296,296,100%,140
2009,170000,170505,5,All Students,141,50,35.5%,10
2009,170000,170505,11,Female,66,31,47%,20
2009,170000,170505,10,Male,75,19,25.3%,30
2009,170000,170505,12,High needs,35,4,11.4%,40
2009,170000,170505,9,Low income,23,3,13%,60
2009,170000,170505,99,Students w/disabilities,14,1,7.1%,70
2009,170000,170505,89,Hispanic/Latino,6,0,0%,110
2009,170000,170505,90,White,125,46,36.8%,140
2009,170000,,5,All Students,142,50,35.2%,10
2009,170000,,11,Female,66,31,47%,20
2009,170000,,10,Male,76,19,25%,30
2009,170000,,12,High needs,36,4,11.1%,40
2009,170000,,9,Low income,23,3,13%,60
2009,170000,,99,Students w/disabilities,15,1,6.7%,70
2009,170000,,89,Hispanic/Latino,6,0,0%,110
2009,170000,,90,White,126,46,36.5%,140
2009,180000,180510,5,All Students,53,53,100%,10
2009,180000,180510,11,Female,29,29,100%,20
2009,180000,180510,10,Male,24,24,100%,30
2009,180000,180510,12,High needs,20,20,100%,40
2009,180000,180510,9,Low income,18,18,100%,60
2009,180000,180510,87,Afr. Amer./Black,13,13,100%,80
2009,180000,180510,90,White,34,34,100%,140
2009,180000,,5,All Students,54,54,100%,10
2009,180000,,11,Female,29,29,100%,20
2009,180000,,10,Male,25,25,100%,30
2009,180000,,12,High needs,21,21,100%,40
2009,180000,,9,Low income,18,18,100%,60
2009,180000,,99,Students w/disabilities,6,6,100%,70
2009,180000,,87,Afr. Amer./Black,13,13,100%,80
2009,180000,,90,White,35,35,100%,140
2009,190000,190510,5,All Students,86,86,100%,10
2009,190000,190510,11,Female,42,42,100%,20
2009,190000,190510,10,Male,44,44,100%,30
2009,190000,190510,12,High needs,28,28,100%,40
2009,190000,190510,9,Low income,24,24,100%,60
2009,190000,190510,99,Students w/disabilities,7,7,100%,70
2009,190000,190510,87,Afr. Amer./Black,6,6,100%,80
2009,190000,190510,92,"Multi-race, Non-Hisp./Lat.",10,10,100%,120
2009,190000,190510,90,White,65,65,100%,140
2009,190000,,5,All Students,86,86,100%,10
2009,190000,,11,Female,42,42,100%,20
2009,190000,,10,Male,44,44,100%,30
2009,190000,,12,High needs,28,28,100%,40
2009,190000,,9,Low income,24,24,100%,60
2009,190000,,99,Students w/disabilities,7,7,100%,70
2009,190000,,87,Afr. Amer./Black,6,6,100%,80
2009,190000,,92,"Multi-race, Non-Hisp./Lat.",10,10,100%,120
2009,190000,,90,White,65,65,100%,140
2009,200000,200505,5,All Students,397,0,0%,10
2009,200000,200505,11,Female,217,0,0%,20
2009,200000,200505,10,Male,180,0,0%,30
2009,200000,200505,12,High needs,135,0,0%,40
2009,200000,200505,95,ELL,21,0,0%,50
2009,200000,200505,9,Low income,107,0,0%,60
2009,200000,200505,99,Students w/disabilities,41,0,0%,70
2009,200000,200505,87,Afr. Amer./Black,18,0,0%,80
2009,200000,200505,88,Asian,10,0,0%,100
2009,200000,200505,89,Hispanic/Latino,34,0,0%,110
2009,200000,200505,92,"Multi-race, Non-Hisp./Lat.",16,0,0%,120
2009,200000,200505,90,White,315,0,0%,140
2009,200000,,5,All Students,401,0,0%,10
2009,200000,,11,Female,217,0,0%,20
2009,200000,,10,Male,184,0,0%,30
2009,200000,,12,High needs,139,0,0%,40
2009,200000,,95,ELL,21,0,0%,50
2009,200000,,9,Low income,110,0,0%,60
2009,200000,,99,Students w/disabilities,45,0,0%,70
2009,200000,,87,Afr. Amer./Black,18,0,0%,80
2009,200000,,88,Asian,10,0,0%,100
2009,200000,,89,Hispanic/Latino,34,0,0%,110
2009,200000,,92,"Multi-race, Non-Hisp./Lat.",17,0,0%,120
2009,200000,,90,White,318,0,0%,140
2009,230000,230505,5,All Students,202,190,94.1%,10
2009,230000,230505,11,Female,102,95,93.1%,20
2009,230000,230505,10,Male,100,95,95%,30
2009,230000,230505,12,High needs,53,43,81.1%,40
2009,230000,230505,9,Low income,21,15,71.4%,60
2009,230000,230505,99,Students w/disabilities,41,31,75.6%,70
2009,230000,230505,87,Afr. Amer./Black,17,17,100%,80
2009,230000,230505,88,Asian,14,14,100%,100
2009,230000,230505,90,White,165,154,93.3%,140
2009,230000,,5,All Students,209,191,91.4%,10
2009,230000,,11,Female,102,95,93.1%,20
2009,230000,,10,Male,107,96,89.7%,30
2009,230000,,12,High needs,60,44,73.3%,40
2009,230000,,9,Low income,22,15,68.2%,60
2009,230000,,99,Students w/disabilities,48,32,66.7%,70
2009,230000,,87,Afr. Amer./Black,17,17,100%,80
2009,230000,,88,Asian,14,14,100%,100
2009,230000,,90,White,172,155,90.1%,140
2009,240000,240505,5,All Students,175,175,100%,10
2009,240000,240505,11,Female,92,92,100%,20
2009,240000,240505,10,Male,83,83,100%,30
2009,240000,240505,12,High needs,39,39,100%,40
2009,240000,240505,9,Low income,26,26,100%,60
2009,240000,240505,99,Students w/disabilities,17,17,100%,70
2009,240000,240505,89,Hispanic/Latino,6,6,100%,110
2009,240000,240505,90,White,162,162,100%,140
2009,240000,,5,All Students,175,175,100%,10
2009,240000,,11,Female,92,92,100%,20
2009,240000,,10,Male,83,83,100%,30
2009,240000,,12,High needs,39,39,100%,40
2009,240000,,9,Low income,26,26,100%,60
2009,240000,,99,Students w/disabilities,17,17,100%,70
2009,240000,,89,Hispanic/Latino,6,6,100%,110
2009,240000,,90,White,162,162,100%,140
2009,250000,250505,5,All Students,164,164,100%,10
2009,250000,250505,11,Female,93,93,100%,20
2009,250000,250505,10,Male,71,71,100%,30
2009,250000,250505,12,High needs,49,49,100%,40
2009,250000,250505,9,Low income,32,32,100%,60
2009,250000,250505,99,Students w/disabilities,17,17,100%,70
2009,250000,250505,89,Hispanic/Latino,9,9,100%,110
2009,250000,250505,90,White,149,149,100%,140
2009,250000,250510,5,All Students,8,8,100%,10
2009,250000,250510,10,Male,7,7,100%,30
2009,250000,250510,12,High needs,8,8,100%,40
2009,250000,250510,9,Low income,6,6,100%,60
2009,250000,250510,99,Students w/disabilities,8,8,100%,70
2009,250000,250510,90,White,7,7,100%,140
2009,250000,,5,All Students,173,173,100%,10
2009,250000,,11,Female,94,94,100%,20
2009,250000,,10,Male,79,79,100%,30
2009,250000,,12,High needs,58,58,100%,40
2009,250000,,9,Low income,39,39,100%,60
2009,250000,,99,Students w/disabilities,26,26,100%,70
2009,250000,,89,Hispanic/Latino,9,9,100%,110
2009,250000,,90,White,157,157,100%,140
2009,260000,260505,5,All Students,272,272,100%,10
2009,260000,260505,11,Female,135,135,100%,20
2009,260000,260505,10,Male,137,137,100%,30
2009,260000,260505,12,High needs,61,61,100%,40
2009,260000,260505,95,ELL,11,11,100%,50
2009,260000,260505,9,Low income,33,33,100%,60
2009,260000,260505,99,Students w/disabilities,26,26,100%,70
2009,260000,260505,87,Afr. Amer./Black,10,10,100%,80
2009,260000,260505,88,Asian,40,40,100%,100
2009,260000,260505,89,Hispanic/Latino,11,11,100%,110
2009,260000,260505,92,"Multi-race, Non-Hisp./Lat.",6,6,100%,120
2009,260000,260505,90,White,205,205,100%,140
2009,260000,,5,All Students,272,272,100%,10
2009,260000,,11,Female,135,135,100%,20
2009,260000,,10,Male,137,137,100%,30
2009,260000,,12,High needs,61,61,100%,40
2009,260000,,95,ELL,11,11,100%,50
2009,260000,,9,Low income,33,33,100%,60
2009,260000,,99,Students w/disabilities,26,26,100%,70
2009,260000,,87,Afr. Amer./Black,10,10,100%,80
2009,260000,,88,Asian,40,40,100%,100
2009,260000,,89,Hispanic/Latino,11,11,100%,110
2009,260000,,92,"Multi-race, Non-Hisp./Lat.",6,6,100%,120
2009,260000,,90,White,205,205,100%,140
2009,300000,300505,5,All Students,269,269,100%,10
2009,300000,300505,11,Female,137,137,100%,20
2009,300000,300505,10,Male,132,132,100%,30
2009,300000,300505,12,High needs,88,88,100%,40
2009,300000,300505,9,Low income,55,55,100%,60
2009,300000,300505,99,Students w/disabilities,50,50,100%,70
2009,300000,300505,87,Afr. Amer./Black,7,7,100%,80
2009,300000,300505,89,Hispanic/Latino,11,11,100%,110
2009,300000,300505,90,White,245,245,100%,140
2009,300000,,5,All Students,279,279,100%,10
2009,300000,,11,Female,139,139,100%,20
2009,300000,,10,Male,140,140,100%,30
2009,300000,,12,High needs,98,98,100%,40
2009,300000,,9,Low income,58,58,100%,60
2009,300000,,99,Students w/disabilities,60,60,100%,70
2009,300000,,87,Afr. Amer./Black,9,9,100%,80
2009,300000,,89,Hispanic/Latino,11,11,100%,110
2009,300000,,90,White,253,253,100%,140
2009,310000,310505,5,All Students,328,328,100%,10
2009,310000,310505,11,Female,174,174,100%,20
2009,310000,310505,10,Male,154,154,100%,30
2009,310000,310505,12,High needs,52,52,100%,40
2009,310000,310505,9,Low income,22,22,100%,60
2009,310000,310505,99,Students w/disabilities,29,29,100%,70
2009,310000,310505,87,Afr. Amer./Black,6,6,100%,80
2009,310000,310505,88,Asian,15,15,100%,100
2009,310000,310505,89,Hispanic/Latino,13,13,100%,110
2009,310000,310505,92,"Multi-race, Non-Hisp./Lat.",14,14,100%,120
2009,310000,310505,90,White,280,280,100%,140
2009,310000,,5,All Students,333,333,100%,10
2009,310000,,11,Female,176,176,100%,20
2009,310000,,10,Male,157,157,100%,30
2009,310000,,12,High needs,57,57,100%,40
2009,310000,,9,Low income,24,24,100%,60
2009,310000,,99,Students w/disabilities,34,34,100%,70
2009,310000,,87,Afr. Amer./Black,6,6,100%,80
2009,310000,,88,Asian,15,15,100%,100
2009,310000,,89,Hispanic/Latino,13,13,100%,110
2009,310000,,92,"Multi-race, Non-Hisp./Lat.",14,14,100%,120
2009,310000,,90,White,285,285,100%,140
2009,350000,350363,5,All Students,37,37,100%,10
2009,350000,350363,11,Female,8,8,100%,20
2009,350000,350363,10,Male,29,29,100%,30
2009,350000,350363,12,High needs,37,37,100%,40
2009,350000,350363,9,Low income,34,34,100%,60
2009,350000,350363,99,Students w/disabilities,37,37,100%,70
2009,350000,350363,87,Afr. Amer./Black,17,17,100%,80
2009,350000,350363,89,Hispanic/Latino,13,13,100%,110
2009,350000,350363,90,White,7,7,100%,140
2009,350000,350502,5,All Students,43,43,100%,10
2009,350000,350502,11,Female,31,31,100%,20
2009,350000,350502,10,Male,12,12,100%,30
2009,350000,350502,12,High needs,38,38,100%,40
2009,350000,350502,9,Low income,37,37,100%,60
2009,350000,350502,99,Students w/disabilities,8,8,100%,70
2009,350000,350502,87,Afr. Amer./Black,34,34,100%,80
2009,350000,350502,89,Hispanic/Latino,7,7,100%,110
2009,350000,350505,5,All Students,225,225,100%,10
2009,350000,350505,11,Female,123,123,100%,20
2009,350000,350505,10,Male,102,102,100%,30
2009,350000,350505,12,High needs,215,215,100%,40
2009,350000,350505,95,ELL,41,41,100%,50
2009,350000,350505,9,Low income,214,214,100%,60
2009,350000,350505,99,Students w/disabilities,34,34,100%,70
2009,350000,350505,87,Afr. Amer./Black,88,88,100%,80
2009,350000,350505,88,Asian,10,10,100%,100
2009,350000,350505,89,Hispanic/Latino,113,113,100%,110
2009,350000,350505,90,White,12,12,100%,140
2009,350000,350507,5,All Students,42,42,100%,10
2009,350000,350507,11,Female,20,20,100%,20
2009,350000,350507,10,Male,22,22,100%,30
2009,350000,350507,12,High needs,42,42,100%,40
2009,350000,350507,95,ELL,41,41,100%,50
2009,350000,350507,9,Low income,40,40,100%,60
2009,350000,350507,87,Afr. Amer./Black,8,8,100%,80
2009,350000,350507,89,Hispanic/Latino,24,24,100%,110
2009,350000,350515,5,All Students,206,206,100%,10
2009,350000,350515,11,Female,105,105,100%,20
2009,350000,350515,10,Male,101,101,100%,30
2009,350000,350515,12,High needs,199,199,100%,40
2009,350000,350515,95,ELL,53,53,100%,50
2009,350000,350515,9,Low income,197,197,100%,60
2009,350000,350515,99,Students w/disabilities,30,30,100%,70
2009,350000,350515,87,Afr. Amer./Black,89,89,100%,80
2009,350000,350515,88,Asian,49,49,100%,100
2009,350000,350515,89,Hispanic/Latino,57,57,100%,110
2009,350000,350515,90,White,9,9,100%,140
2009,350000,350518,5,All Students,36,36,100%,10
2009,350000,350518,11,Female,23,23,100%,20
2009,350000,350518,10,Male,13,13,100%,30
2009,350000,350518,12,High needs,35,35,100%,40
2009,350000,350518,9,Low income,35,35,100%,60
2009,350000,350518,87,Afr. Amer./Black,28,28,100%,80
2009,350000,350518,89,Hispanic/Latino,7,7,100%,110
2009,350000,350522,5,All Students,74,74,100%,10
2009,350000,350522,11,Female,34,34,100%,20
2009,350000,350522,10,Male,40,40,100%,30
2009,350000,350522,12,High needs,65,65,100%,40
2009,350000,350522,95,ELL,19,19,100%,50
2009,350000,350522,9,Low income,60,60,100%,60
2009,350000,350522,99,Students w/disabilities,10,10,100%,70
2009,350000,350522,87,Afr. Amer./Black,22,22,100%,80
2009,350000,350522,88,Asian,20,20,100%,100
2009,350000,350522,89,Hispanic/Latino,15,15,100%,110
2009,350000,350522,90,White,17,17,100%,140
2009,350000,350524,5,All Students,28,28,100%,10
2009,350000,350524,11,Female,13,13,100%,20
2009,350000,350524,10,Male,15,15,100%,30
2009,350000,350524,12,High needs,27,27,100%,40
2009,350000,350524,9,Low income,26,26,100%,60
2009,350000,350524,99,Students w/disabilities,8,8,100%,70
2009,350000,350524,87,Afr. Amer./Black,17,17,100%,80
2009,350000,350524,89,Hispanic/Latino,11,11,100%,110
2009,350000,350525,5,All Students,113,113,100%,10
2009,350000,350525,11,Female,60,60,100%,20
2009,350000,350525,10,Male,53,53,100%,30
2009,350000,350525,12,High needs,105,105,100%,40
2009,350000,350525,95,ELL,36,36,100%,50
2009,350000,350525,9,Low income,105,105,100%,60
2009,350000,350525,99,Students w/disabilities,15,15,100%,70
2009,350000,350525,87,Afr. Amer./Black,80,80,100%,80
2009,350000,350525,89,Hispanic/Latino,23,23,100%,110
2009,350000,350530,5,All Students,253,253,100%,10
2009,350000,350530,11,Female,130,130,100%,20
2009,350000,350530,10,Male,123,123,100%,30
2009,350000,350530,12,High needs,235,235,100%,40
2009,350000,350530,95,ELL,43,43,100%,50
2009,350000,350530,9,Low income,228,228,100%,60
2009,350000,350530,99,Students w/disabilities,38,38,100%,70
2009,350000,350530,87,Afr. Amer./Black,40,40,100%,80
2009,350000,350530,89,Hispanic/Latino,144,144,100%,110
2009,350000,350530,90,White,61,61,100%,140
2009,350000,350535,5,All Students,169,169,100%,10
2009,350000,350535,11,Female,85,85,100%,20
2009,350000,350535,10,Male,84,84,100%,30
2009,350000,350535,12,High needs,163,163,100%,40
2009,350000,350535,95,ELL,29,29,100%,50
2009,350000,350535,9,Low income,160,160,100%,60
2009,350000,350535,99,Students w/disabilities,35,35,100%,70
2009,350000,350535,87,Afr. Amer./Black,74,74,100%,80
2009,350000,350535,89,Hispanic/Latino,79,79,100%,110
2009,350000,350535,90,White,8,8,100%,140
2009,350000,350537,5,All Students,234,234,100%,10
2009,350000,350537,11,Female,109,109,100%,20
2009,350000,350537,10,Male,125,125,100%,30
2009,350000,350537,12,High needs,224,224,100%,40
2009,350000,350537,95,ELL,45,45,100%,50
2009,350000,350537,9,Low income,219,219,100%,60
2009,350000,350537,99,Students w/disabilities,71,71,100%,70
2009,350000,350537,87,Afr. Amer./Black,124,124,100%,80
2009,350000,350537,89,Hispanic/Latino,90,90,100%,110
2009,350000,350537,90,White,14,14,100%,140
2009,350000,350538,5,All Students,75,75,100%,10
2009,350000,350538,11,Female,43,43,100%,20
2009,350000,350538,10,Male,32,32,100%,30
2009,350000,350538,12,High needs,69,69,100%,40
2009,350000,350538,9,Low income,67,67,100%,60
2009,350000,350538,99,Students w/disabilities,17,17,100%,70
2009,350000,350538,87,Afr. Amer./Black,43,43,100%,80
2009,350000,350538,88,Asian,6,6,100%,100
2009,350000,350538,89,Hispanic/Latino,18,18,100%,110
2009,350000,350538,90,White,8,8,100%,140
2009,350000,350539,5,All Students,83,83,100%,10
2009,350000,350539,11,Female,30,30,100%,20
2009,350000,350539,10,Male,53,53,100%,30
2009,350000,350539,12,High needs,76,76,100%,40
2009,350000,350539,9,Low income,71,71,100%,60
2009,350000,350539,99,Students w/disabilities,11,11,100%,70
2009,350000,350539,87,Afr. Amer./Black,44,44,100%,80
2009,350000,350539,88,Asian,8,8,100%,100
2009,350000,350539,89,Hispanic/Latino,22,22,100%,110
2009,350000,350539,90,White,9,9,100%,140
2009,350000,350540,5,All Students,66,66,100%,10
2009,350000,350540,11,Female,37,37,100%,20
2009,350000,350540,10,Male,29,29,100%,30
2009,350000,350540,12,High needs,54,54,100%,40
2009,350000,350540,9,Low income,49,49,100%,60
2009,350000,350540,99,Students w/disabilities,15,15,100%,70
2009,350000,350540,87,Afr. Amer./Black,26,26,100%,80
2009,350000,350540,89,Hispanic/Latino,26,26,100%,110
2009,350000,350540,90,White,10,10,100%,140
2009,350000,350541,5,All Students,44,44,100%,10
2009,350000,350541,11,Female,30,30,100%,20
2009,350000,350541,10,Male,14,14,100%,30
2009,350000,350541,12,High needs,37,37,100%,40
2009,350000,350541,9,Low income,37,37,100%,60
2009,350000,350541,87,Afr. Amer./Black,17,17,100%,80
2009,350000,350541,89,Hispanic/Latino,18,18,100%,110
2009,350000,350542,5,All Students,58,58,100%,10
2009,350000,350542,11,Female,38,38,100%,20
2009,350000,350542,10,Male,20,20,100%,30
2009,350000,350542,12,High needs,53,53,100%,40
2009,350000,350542,9,Low income,53,53,100%,60
2009,350000,350542,99,Students w/disabilities,7,7,100%,70
2009,350000,350542,87,Afr. Amer./Black,29,29,100%,80
2009,350000,350542,89,Hispanic/Latino,23,23,100%,110
2009,350000,350543,5,All Students,38,38,100%,10
2009,350000,350543,11,Female,23,23,100%,20
2009,350000,350543,10,Male,15,15,100%,30
2009,350000,350543,12,High needs,33,33,100%,40
2009,350000,350543,9,Low income,31,31,100%,60
2009,350000,350543,99,Students w/disabilities,8,8,100%,70
2009,350000,350543,87,Afr. Amer./Black,19,19,100%,80
2009,350000,350543,89,Hispanic/Latino,18,18,100%,110
2009,350000,350545,5,All Students,248,248,100%,10
2009,350000,350545,11,Female,153,153,100%,20
2009,350000,350545,10,Male,95,95,100%,30
2009,350000,350545,12,High needs,168,168,100%,40
2009,350000,350545,9,Low income,165,165,100%,60
2009,350000,350545,99,Students w/disabilities,6,6,100%,70
2009,350000,350545,87,Afr. Amer./Black,72,72,100%,80
2009,350000,350545,88,Asian,61,61,100%,100
2009,350000,350545,89,Hispanic/Latino,33,33,100%,110
2009,350000,350545,90,White,75,75,100%,140
2009,350000,350546,5,All Students,74,74,100%,10
2009,350000,350546,11,Female,53,53,100%,20
2009,350000,350546,10,Male,21,21,100%,30
2009,350000,350546,12,High needs,56,56,100%,40
2009,350000,350546,9,Low income,54,54,100%,60
2009,350000,350546,99,Students w/disabilities,10,10,100%,70
2009,350000,350546,87,Afr. Amer./Black,37,37,100%,80
2009,350000,350546,89,Hispanic/Latino,15,15,100%,110
2009,350000,350546,90,White,17,17,100%,140
2009,350000,350548,5,All Students,111,111,100%,10
2009,350000,350548,11,Female,50,50,100%,20
2009,350000,350548,10,Male,61,61,100%,30
2009,350000,350548,12,High needs,110,110,100%,40
2009,350000,350548,95,ELL,39,39,100%,50
2009,350000,350548,9,Low income,107,107,100%,60
2009,350000,350548,99,Students w/disabilities,21,21,100%,70
2009,350000,350548,87,Afr. Amer./Black,61,61,100%,80
2009,350000,350548,89,Hispanic/Latino,46,46,100%,110
2009,350000,350558,5,All Students,66,66,100%,10
2009,350000,350558,11,Female,38,38,100%,20
2009,350000,350558,10,Male,28,28,100%,30
2009,350000,350558,12,High needs,63,63,100%,40
2009,350000,350558,95,ELL,10,10,100%,50
2009,350000,350558,9,Low income,62,62,100%,60
2009,350000,350558,99,Students w/disabilities,15,15,100%,70
2009,350000,350558,87,Afr. Amer./Black,30,30,100%,80
2009,350000,350558,89,Hispanic/Latino,28,28,100%,110
2009,350000,350560,5,All Students,381,381,100%,10
2009,350000,350560,11,Female,218,218,100%,20
2009,350000,350560,10,Male,163,163,100%,30
2009,350000,350560,12,High needs,155,155,100%,40
2009,350000,350560,9,Low income,153,153,100%,60
2009,350000,350560,87,Afr. Amer./Black,28,28,100%,80
2009,350000,350560,88,Asian,116,116,100%,100
2009,350000,350560,89,Hispanic/Latino,26,26,100%,110
2009,350000,350560,90,White,207,207,100%,140
2009,350000,350565,5,All Students,43,43,100%,10
2009,350000,350565,11,Female,16,16,100%,20
2009,350000,350565,10,Male,27,27,100%,30
2009,350000,350565,12,High needs,40,40,100%,40
2009,350000,350565,9,Low income,38,38,100%,60
